SimulationName,Seed,SeedInf,NumDays,VaccineFile,OutputPath,ReportFile,DiseaseRates,LocationFile,TrajectoryFile,BirthsFile,ForceOfImportationFile,ForceOfLocalImportationFile,InitialFoiFile,HumanImmunityDays,EmergenceFactor,MosquitoInfectiousness,MosquitoMoveProbability,CloseLocDistance,MosquitoRatesFile,MosquitoFixedParametersFile,AttractivenessShape,OutbreakResponseFile,EarlyMosquitoStages,DelayedEmergence,CorrectionTermA,CorrectionTermB,FeverHumMvmtFile,GeneticsFile,ShelterFile
sim_00000,524412098,524412098,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.000732421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_0.txt
sim_00001,169002633,169002633,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.250732421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_1.txt
sim_00002,596272268,596272268,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.375732421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_2.txt
sim_00003,903961660,903961660,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.125732421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_3.txt
sim_00004,822127452,822127452,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.188232421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_4.txt
sim_00005,538844760,538844760,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.438232421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_5.txt
sim_00006,809548211,809548211,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.313232421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_6.txt
sim_00007,437034047,437034047,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.063232421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_7.txt
sim_00008,492820284,492820284,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.094482421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_8.txt
sim_00009,570632042,570632042,1643,vaccine_settings.txt,.,reporting.txt,disease_rates.csv,Locations20190109.csv,trajectories_15.txt,birthdeath_15.csv,daily_foi_all.csv,daily_residents_foi.csv,initial_foi_iquitos.csv,686,1,1,0.344482421875,100,AegyptiPars_2_offset.csv,fixed_parameters.txt,-1,outbreak_response_none_upper.txt,1,0,1,1,fever_hum_mvmt.txt,genetic_inputs.txt,shelter_in_place_9.txt
